//////////////////////////////////////////////////////////////////////////////////////																				
// [ Script ]	LabyrinthOfDimensionInfo																			
// [ Start ] 	2017-01-02																			
// [ Latest ]	2017-01-02 15:57																			
// [ Author ]	박혜진																			
// [ Version ]	0.0.0.2																			
// [ Text ]	차원의 미궁 설정																			
// [ Desc ]	차원의 미궁 사용설명 추가																			
// [사용부서]	서버, 클라이언트																			
//////////////////////////////////////////////////////////////////////////////////////																				
																				
//차원의 미궁 맵 지역으로 사용할 맵 설정 (클라이언트 사용)																				
//차원의 미궁 맵의 지역은 기존 게임 내 맵의 특정 부분을 로드하여 사용하는 형태로 제작되었습니다.																				
//신규 추가 시 기존 게임 맵의 16x12 크기 만큼의 x, y 좌표를 입력합니다.																				
0																				
//인덱스	맵 번호	시작X	시작Y	종료X	종료Y	맵 이름(자동 입력됨)														
4	8	13	3	3	2	2	2	0	//정상											
4	9	33	2	0	1	1	0	0	//정상											
5	0	5	3	5	2	2	0	2	//정상											
5	1	31	2	0	1	1	1	1	//정상											
5	2	1	3	2	2	2	2	2	//정상											
5	3	24	2	0	0	1	1	1	//정상											
5	4	25	2	0	1	0	1	1	//정상											
5	5	13	3	1	2	0	2	0	//정상											
5	6	17	2	0	1	1	0	1	//정상											
5	7	19	3	5	2	2	2	2	//정상											
5	8	24	2	0	1	1	1	0	//정상											
5	9	36	2	0	1	1	0	0	//정상											
6	0	32	3	4	2	2	0	2	//정상											
6	1	17	3	1	2	0	2	2	//정상											
6	2	13	1	0	1	1	1	1	//정상											
6	3	7	3	1	2	0	2	2	//정상											
6	4	36	2	0	0	0	1	1	//정상											
6	5	3	2	0	0	0	1	1	//정상											
6	6	37	3	3	2	0	2	2	//정상											
6	7	26	2	0	1	0	1	1	//정상											
6	8	25	2	0	1	0	1	0	//정상											
6	9	1	2	0	1	1	0	0	//정상											
7	0	17	2	0	1	1	0	1	//정상											
7	1	13	2	0	0	1	1	1	//정상											
7	2	4	3	4	2	2	2	2	//정상											
7	3	36	2	0	0	1	1	1	//정상											
7	4	1	3	3	0	2	2	2	//정상											
7	5	8	2	0	0	1	1	1	//정상											
7	6	5	3	4	0	2	2	2	//정상											
7	7	1	2	0	0	0	1	1	//정상											
7	8	13	3	3	0	0	2	0	//정상											
7	9	1	2	0	1	1	0	0	//정상											
8	0	33	2	0	1	1	0	1	//정상											
8	1	7	3	5	2	2	2	0	//정상											
8	2	2	2	0	1	1	0	1	//정상											
8	3	8	3	4	2	2	2	0	//정상											
8	4	37	2	0	1	1	0	1	//정상											
8	5	4	3	3	2	2	2	2	//정상											
8	6	3	2	0	1	1	1	1	//정상											
8	7	18	2	0	0	1	1	1	//정상											
8	8	30	2	0	0	1	1	1	//정상											
8	9	8	3	3	2	2	2	0	//정상											
9	0	13	2	0	1	0	0	1	//정상											
9	1	26	2	0	1	0	1	0	//정상											
9	2	19	3	5	2	0	0	2	//정상											
9	3	26	2	0	1	0	1	0	//정상											
9	4	4	2	0	1	0	0	1	//정상											
9	5	16	2	0	1	0	1	1	//정상											
9	6	1	3	1	2	0	2	2	//정상											
9	7	24	2	0	1	0	1	1	//정상											
9	8	37	2	0	1	0	1	1	//정상											
9	9	19	3	1	2	0	2	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
6	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	16	2	0	0	1	0	1	//정상											
0	1	17	2	0	0	0	1	1	//정상											
0	2	37	3	1	0	0	2	2	//정상											
0	3	20	2	0	0	0	1	1	//정상											
0	4	19	2	0	0	0	1	1	//정상											
0	5	27	2	0	0	0	1	1	//정상											
0	6	9	3	5	0	0	2	2	//정상											
0	7	21	2	0	0	0	1	1	//정상											
0	8	29	2	0	0	1	1	0	//정상											
0	9	15	2	0	0	1	0	0	//정상											
1	0	29	3	5	2	2	0	0	//정상											
1	1	34	2	0	0	1	0	1	//정상											
1	2	25	3	3	0	2	2	2	//정상											
1	3	20	2	0	0	1	1	1	//정상											
1	4	5	2	0	0	1	1	1	//정상											
1	5	10	2	0	0	1	1	1	//정상											
1	6	3	3	2	0	2	2	2	//정상											
1	7	15	2	0	0	1	1	1	//정상											
1	8	13	3	5	2	2	2	2	//정상											
1	9	3	2	0	1	1	1	0	//정상											
2	0	27	2	0	1	1	0	0	//정상											
2	1	3	3	4	2	2	0	2	//정상											
2	2	22	2	0	1	0	1	1	//정상											
2	3	2	3	4	2	2	2	2	//정상											
2	4	12	3	4	2	2	2	2	//정상											
2	5	18	3	3	2	2	2	0	//정상											
2	6	9	2	0	1	1	0	0	//정상											
2	7	29	3	4	2	2	0	2	//정상											
2	8	0	1	0	1	1	1	1	//정상											
2	9	5	3	4	2	2	2	0	//정상											
3	0	26	2	0	1	1	0	0	//정상											
3	1	11	2	0	1	1	0	1	//정상											
3	2	19	2	0	0	1	1	1	//정상											
3	3	1	2	0	1	1	1	1	//정상											
3	4	33	2	0	1	0	1	1	//정상											
3	5	23	2	0	1	1	1	0	//정상											
3	6	0	3	1	2	2	0	0	//정상											
3	7	18	2	0	1	1	0	1	//정상											
3	8	24	3	5	2	2	2	0	//정상											
3	9	11	2	0	1	1	0	0	//정상											
4	0	13	2	0	1	1	0	0	//정상											
4	1	36	2	0	1	0	0	0	//정상											
4	2	24	3	0	2	0	0	0	//정상											
4	3	16	3	1	2	0	0	0	//정상											
4	4	14	2	0	0	1	0	1	//정상											
4	5	28	3	0	2	2	2	0	//정상											
4	6	18	3	2	2	0	0	0	//정상											
4	7	33	2	0	1	0	0	0	//정상											
4	8	24	3	2	2	2	0	2	//정상											
4	9	13	2	0	1	1	1	0	//정상											
5	0	5	2	0	1	1	0	0	//정상											
5	1	1	3	2	0	2	0	2	//정상											
5	2	18	3	1	0	0	2	2	//정상											
5	3	20	4	0	0	0	1	1	//정상											
5	4	17	3	0	2	0	2	0	//정상											
5	5	20	3	0	2	0	0	0	//정상											
5	6	12	2	0	0	1	0	1	//정상											
5	7	28	3	1	0	2	2	2	//정상											
5	8	33	3	0	2	2	2	0	//정상											
5	9	12	2	0	1	1	0	0	//정상											
6	0	13	3	0	2	2	0	0	//정상											
6	1	12	2	0	1	1	0	1	//정상											
6	2	29	2	0	0	1	1	1	//정상											
6	3	14	3	4	0	2	2	2	//정상											
6	4	33	2	0	0	0	1	1	//정상											
6	5	20	2	0	0	0	1	0	//정상											
6	6	2	3	0	2	0	0	2	//정상											
6	7	12	2	0	1	0	1	1	//정상											
6	8	35	2	0	1	1	1	0	//정상											
6	9	13	2	0	1	1	0	0	//정상											
7	0	9	2	0	1	1	0	0	//정상											
7	1	31	2	0	1	1	0	1	//정상											
7	2	18	3	0	2	2	2	0	//정상											
7	3	5	3	3	2	0	0	2	//정상											
7	4	15	2	0	0	1	1	1	//정상											
7	5	25	2	0	0	1	1	0	//정상											
7	6	17	2	0	0	0	0	1	//정상											
7	7	0	2	0	0	0	1	1	//정상											
7	8	27	3	1	2	2	2	0	//정상											
7	9	37	2	0	1	1	0	0	//정상											
8	0	9	2	0	1	1	0	0	//정상											
8	1	16	3	3	2	2	0	2	//정상											
8	2	9	2	0	1	1	1	1	//정상											
8	3	2	2	0	0	0	1	1	//정상											
8	4	4	3	0	2	2	2	2	//정상											
8	5	19	3	1	2	2	2	0	//정상											
8	6	27	3	3	0	0	0	2	//정상											
8	7	9	2	0	0	0	1	1	//정상											
8	8	33	2	0	1	1	1	0	//정상											
8	9	22	2	0	1	1	0	0	//정상											
9	0	31	3	4	2	0	0	2	//정상											
9	1	34	2	0	1	0	1	1	//정상											
9	2	31	2	0	1	0	1	1	//정상											
9	3	31	3	4	0	0	2	2	//정상											
9	4	8	2	0	1	0	1	1	//정상											
9	5	26	2	0	1	0	1	0	//정상											
9	6	18	2	0	0	0	0	1	//정상											
9	7	29	3	0	0	0	2	2	//정상											
9	8	23	3	4	2	0	2	2	//정상											
9	9	12	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
7	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	9	2	0	0	1	0	1	//정상											
0	1	18	3	2	0	0	2	2	//정상											
0	2	2	2	0	0	0	1	1	//정상											
0	3	27	2	0	0	0	1	1	//정상											
0	4	28	2	0	0	0	1	1	//정상											
0	5	27	3	2	0	0	2	2	//정상											
0	6	33	2	0	0	0	1	1	//정상											
0	7	34	2	0	0	1	1	1	//정상											
0	8	18	2	0	0	1	1	1	//정상											
0	9	31	3	2	0	0	2	0	//정상											
1	0	10	3	0	2	0	0	2	//정상											
1	1	16	2	0	0	0	1	1	//정상											
1	2	11	2	0	0	0	1	1	//정상											
1	3	35	3	4	0	0	2	2	//정상											
1	4	11	2	0	0	1	1	1	//정상											
1	5	24	2	0	0	0	1	1	//정상											
1	6	33	3	2	0	0	2	2	//정상											
1	7	8	3	0	2	2	2	2	//정상											
1	8	32	2	0	1	1	1	1	//정상											
1	9	24	2	0	0	0	1	0	//정상											
2	0	15	3	0	0	2	0	2	//정상											
2	1	2	2	0	0	0	1	1	//정상											
2	2	29	3	1	0	2	2	2	//정상											
2	3	14	3	5	0	0	2	2	//정상											
2	4	7	2	0	1	0	1	1	//정상											
2	5	18	2	0	0	0	1	1	//정상											
2	6	26	3	4	0	2	2	2	//정상											
2	7	33	1	0	1	1	1	1	//정상											
2	8	29	3	2	2	2	2	2	//정상											
2	9	29	3	4	0	2	2	0	//정상											
3	0	37	2	0	1	1	0	1	//정상											
3	1	36	2	0	0	0	1	1	//정상											
3	2	4	2	0	1	0	1	1	//정상											
3	3	1	3	3	0	0	2	0	//정상											
3	4	10	3	5	0	2	0	2	//정상											
3	5	28	2	0	0	1	1	0	//정상											
3	6	27	2	0	1	0	0	1	//정상											
3	7	3	3	3	2	0	2	0	//정상											
3	8	14	2	0	1	1	0	0	//정상											
3	9	14	2	0	1	1	0	0	//정상											
4	0	7	2	0	1	1	0	1	//정상											
4	1	1	2	0	0	0	1	0	//정상											
4	2	30	3	1	0	2	0	2	//정상											
4	3	13	4	0	0	0	1	1	//정상											
4	4	29	3	5	2	0	2	0	//정상											
4	5	14	3	0	2	2	0	2	//정상											
4	6	32	3	0	0	2	2	2	//정상											
4	7	2	2	0	0	1	1	1	//정상											
4	8	16	3	5	2	2	2	0	//정상											
4	9	34	2	0	1	1	0	0	//정상											
5	0	26	3	1	2	2	0	2	//정상											
5	1	27	2	0	0	1	1	0	//정상											
5	2	0	2	0	1	1	0	0	//정상											
5	3	26	3	3	0	0	0	2	//정상											
5	4	0	2	0	0	1	1	1	//정상											
5	5	28	3	4	2	2	2	2	//정상											
5	6	10	2	0	1	0	1	1	//정상											
5	7	22	2	0	1	0	1	1	//정상											
5	8	3	3	1	2	2	2	0	//정상											
5	9	1	3	4	2	2	0	0	//정상											
6	0	19	2	0	1	1	0	1	//정상											
6	1	31	3	2	2	0	2	0	//정상											
6	2	17	2	0	1	1	0	0	//정상											
6	3	23	3	4	0	2	0	2	//정상											
6	4	22	3	5	2	0	2	2	//정상											
6	5	3	2	0	1	0	1	1	//정상											
6	6	16	2	0	0	0	1	1	//정상											
6	7	29	2	0	0	0	1	1	//정상											
6	8	19	2	0	1	1	1	0	//정상											
6	9	1	2	0	1	1	0	0	//정상											
7	0	4	2	0	1	1	0	1	//정상											
7	1	19	2	0	0	0	1	0	//정상											
7	2	15	3	1	2	2	0	0	//정상											
7	3	3	2	0	1	1	0	0	//정상											
7	4	25	3	5	0	2	0	0	//정상											
7	5	5	3	3	0	0	0	2	//정상											
7	6	34	2	0	0	1	1	1	//정상											
7	7	17	2	0	0	1	1	1	//정상											
7	8	23	3	2	2	2	2	0	//정상											
7	9	23	2	0	1	1	0	0	//정상											
8	0	22	2	0	1	1	0	1	//정상											
8	1	33	2	0	0	1	1	0	//정상											
8	2	6	2	0	1	1	0	0	//정상											
8	3	24	2	0	1	1	0	0	//정상											
8	4	13	2	0	1	1	0	0	//정상											
8	5	21	3	5	0	2	0	0	//정상											
8	6	23	3	0	2	2	0	0	//정상											
8	7	32	2	0	1	1	0	1	//정상											
8	8	5	2	0	1	1	1	0	//정상											
8	9	37	2	0	1	1	0	0	//정상											
9	0	13	3	3	2	0	0	2	//정상											
9	1	19	3	0	2	0	2	2	//정상											
9	2	1	2	0	1	0	1	0	//정상											
9	3	26	3	2	2	0	0	2	//정상											
9	4	10	2	0	1	0	1	1	//정상											
9	5	19	2	0	1	0	1	1	//정상											
9	6	27	2	0	1	0	1	1	//정상											
9	7	28	2	0	1	0	1	1	//정상											
9	8	33	3	1	2	0	2	2	//정상											
9	9	2	3	5	2	0	2	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
8	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	30	2	0	0	1	0	1	//정상											
0	1	10	2	0	0	0	1	1	//정상											
0	2	32	2	0	0	0	1	1	//정상											
0	3	32	3	5	0	0	2	2	//정상											
0	4	24	2	0	0	0	1	1	//정상											
0	5	34	2	0	0	0	1	1	//정상											
0	6	30	3	1	0	2	2	0	//정상											
0	7	35	2	0	0	1	0	1	//정상											
0	8	2	3	2	0	2	2	2	//정상											
0	9	14	2	0	0	1	1	0	//정상											
1	0	18	3	0	2	2	0	2	//정상											
1	1	14	2	0	0	0	1	1	//정상											
1	2	3	2	0	0	0	1	1	//정상											
1	3	3	3	4	0	2	2	2	//정상											
1	4	3	2	0	0	0	1	1	//정상											
1	5	3	2	0	0	1	1	0	//정상											
1	6	14	2	0	1	1	0	0	//정상											
1	7	23	3	4	2	2	0	0	//정상											
1	8	0	2	0	1	1	0	1	//정상											
1	9	37	3	0	2	2	2	0	//정상											
2	0	31	2	0	1	1	0	1	//정상											
2	1	35	3	4	0	0	2	2	//정상											
2	2	2	2	0	0	1	1	1	//정상											
2	3	15	3	3	2	2	2	2	//정상											
2	4	36	2	0	0	0	1	1	//정상											
2	5	37	3	4	2	0	2	0	//정상											
2	6	4	3	1	2	2	0	0	//정상											
2	7	27	4	0	1	1	0	0	//정상											
2	8	25	2	0	1	1	0	0	//정상											
2	9	37	2	0	1	1	0	0	//정상											
3	0	3	2	0	1	1	0	1	//정상											
3	1	3	2	0	0	0	1	1	//정상											
3	2	3	3	4	2	2	2	0	//정상											
3	3	17	2	0	1	1	0	1	//정상											
3	4	11	3	1	0	2	2	0	//정상											
3	5	20	3	0	0	2	0	0	//정상											
3	6	3	2	0	1	1	0	0	//정상											
3	7	15	3	2	2	2	0	0	//정상											
3	8	20	2	0	1	0	0	1	//정상											
3	9	21	2	0	1	1	1	0	//정상											
4	0	1	3	0	2	2	0	2	//정상											
4	1	36	3	0	0	0	2	0	//정상											
4	2	25	2	0	1	1	0	0	//정상											
4	3	16	2	0	1	1	0	0	//정상											
4	4	9	2	0	1	1	0	0	//정상											
4	5	3	2	0	1	1	0	0	//정상											
4	6	11	3	3	2	2	0	2	//정상											
4	7	33	2	0	1	0	1	1	//정상											
4	8	13	3	1	0	0	2	0	//정상											
4	9	31	3	0	2	2	0	0	//정상											
5	0	25	2	0	1	0	0	1	//정상											
5	1	12	2	0	0	0	1	0	//정상											
5	2	7	2	0	1	1	0	1	//정상											
5	3	33	3	3	2	2	2	2	//정상											
5	4	4	2	0	1	1	1	0	//정상											
5	5	21	3	0	2	2	0	2	//정상											
5	6	2	2	0	1	0	1	1	//정상											
5	7	35	3	4	0	2	2	2	//정상											
5	8	14	3	0	0	0	2	2	//정상											
5	9	20	2	0	1	1	1	0	//정상											
6	0	33	2	0	0	0	0	1	//정상											
6	1	29	2	0	0	0	1	1	//정상											
6	2	36	3	3	2	2	2	2	//정상											
6	3	34	1	0	1	1	1	1	//정상											
6	4	37	3	2	2	0	2	0	//정상											
6	5	19	2	0	1	1	0	1	//정상											
6	6	36	3	4	0	2	2	0	//정상											
6	7	12	2	0	1	1	0	0	//정상											
6	8	3	2	0	0	1	0	1	//정상											
6	9	5	3	1	2	2	2	0	//정상											
7	0	33	2	0	0	1	0	1	//정상											
7	1	8	3	5	0	2	2	2	//정상											
7	2	30	2	0	1	1	1	1	//정상											
7	3	35	3	5	2	2	2	2	//정상											
7	4	18	2	0	0	1	1	1	//정상											
7	5	21	3	4	2	2	2	2	//정상											
7	6	28	3	5	2	2	2	2	//정상											
7	7	30	2	0	1	1	1	0	//정상											
7	8	19	3	2	2	0	0	2	//정상											
7	9	32	2	0	1	1	1	0	//정상											
8	0	32	3	2	2	0	0	0	//정상											
8	1	2	2	0	1	1	0	0	//정상											
8	2	17	2	0	1	1	0	0	//정상											
8	3	14	2	0	1	1	0	1	//정상											
8	4	10	3	0	2	0	2	2	//정상											
8	5	5	2	0	1	0	1	1	//정상											
8	6	7	2	0	1	0	1	1	//정상											
8	7	35	3	0	2	0	2	0	//정상											
8	8	20	3	3	0	0	0	2	//정상											
8	9	27	2	0	1	1	1	0	//정상											
9	0	36	2	0	0	0	0	1	//정상											
9	1	18	3	5	2	0	2	2	//정상											
9	2	0	2	0	1	0	1	0	//정상											
9	3	35	2	0	1	0	0	1	//정상											
9	4	37	3	1	0	0	2	2	//정상											
9	5	12	2	0	0	0	1	1	//정상											
9	6	14	3	5	0	0	2	2	//정상											
9	7	12	2	0	0	0	1	1	//정상											
9	8	4	2	0	0	0	1	1	//정상											
9	9	24	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
9	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	12	3	5	0	2	0	0	//정상											
0	1	12	2	0	0	1	0	1	//정상											
0	2	0	2	0	0	0	1	1	//정상											
0	3	31	3	4	0	0	2	0	//정상											
0	4	17	3	1	0	0	0	2	//정상											
0	5	3	2	0	0	0	1	1	//정상											
0	6	30	3	3	0	2	2	2	//정상											
0	7	7	2	0	0	1	1	1	//정상											
0	8	18	3	3	0	2	2	2	//정상											
0	9	4	2	0	0	1	1	0	//정상											
1	0	23	2	0	1	1	0	0	//정상											
1	1	7	2	0	1	1	0	1	//정상											
1	2	1	2	0	0	0	1	1	//정상											
1	3	32	2	0	0	0	1	1	//정상											
1	4	6	2	0	0	0	1	1	//정상											
1	5	29	2	0	0	0	1	1	//정상											
1	6	11	2	0	1	0	1	1	//정상											
1	7	22	3	2	2	2	2	2	//정상											
1	8	9	2	0	1	1	1	0	//정상											
1	9	9	2	0	1	1	0	0	//정상											
2	0	33	2	0	1	1	0	1	//정상											
2	1	34	3	1	2	2	2	2	//정상											
2	2	7	2	0	0	1	1	1	//정상											
2	3	22	3	1	0	2	2	2	//정상											
2	4	26	2	0	0	1	1	1	//정상											
2	5	10	3	5	0	0	2	2	//정상											
2	6	6	3	5	0	0	2	0	//정상											
2	7	26	2	0	1	1	0	1	//정상											
2	8	24	3	0	2	2	2	0	//정상											
2	9	1	2	0	1	1	0	0	//정상											
3	0	26	2	0	1	1	0	1	//정상											
3	1	26	3	4	2	2	2	2	//정상											
3	2	21	2	0	1	0	1	1	//정상											
3	3	28	3	2	2	2	2	2	//정상											
3	4	4	2	0	1	0	1	1	//정상											
3	5	1	2	0	0	0	1	1	//정상											
3	6	15	3	2	0	0	2	2	//정상											
3	7	11	2	0	1	0	1	1	//정상											
3	8	20	2	0	1	0	1	0	//정상											
3	9	19	2	0	1	1	0	0	//정상											
4	0	33	3	1	2	0	0	2	//정상											
4	1	32	1	0	1	1	1	1	//정상											
4	2	23	3	4	0	2	2	0	//정상											
4	3	18	3	0	2	2	0	2	//정상											
4	4	37	3	2	0	2	2	2	//정상											
4	5	16	2	0	0	0	1	1	//정상											
4	6	7	3	1	0	0	2	0	//정상											
4	7	35	2	0	0	0	0	1	//정상											
4	8	21	3	1	0	0	2	2	//정상											
4	9	7	3	1	2	0	2	0	//정상											
5	0	15	2	0	0	1	0	1	//정상											
5	1	25	3	3	2	2	2	2	//정상											
5	2	10	2	0	1	1	1	0	//정상											
5	3	24	2	0	1	1	0	1	//정상											
5	4	34	2	0	1	1	1	1	//정상											
5	5	13	3	1	0	2	2	2	//정상											
5	6	16	3	1	0	2	2	2	//정상											
5	7	10	3	5	0	0	2	2	//정상											
5	8	24	2	0	0	0	1	1	//정상											
5	9	16	2	0	0	0	1	0	//정상											
6	0	34	2	0	1	1	0	1	//정상											
6	1	35	2	0	1	1	1	0	//정상											
6	2	1	2	0	1	1	0	0	//정상											
6	3	17	3	2	2	2	0	0	//정상											
6	4	15	3	5	2	2	0	0	//정상											
6	5	26	2	0	1	1	0	0	//정상											
6	6	35	3	5	2	0	0	0	//정상											
6	7	20	2	0	0	1	0	1	//정상											
6	8	5	3	0	0	0	2	2	//정상											
6	9	36	2	0	0	1	1	0	//정상											
7	0	5	2	0	1	1	0	1	//정상											
7	1	9	3	5	2	0	2	0	//정상											
7	2	18	3	3	2	2	0	0	//정상											
7	3	28	3	0	2	2	0	2	//정상											
7	4	9	3	1	2	2	2	0	//정상											
7	5	9	3	1	2	2	0	2	//정상											
7	6	19	4	0	0	0	1	0	//정상											
7	7	32	3	0	2	2	0	2	//정상											
7	8	23	2	0	0	0	1	1	//정상											
7	9	29	2	0	1	0	1	0	//정상											
8	0	26	2	0	1	1	0	1	//정상											
8	1	21	2	0	0	1	1	0	//정상											
8	2	35	2	0	1	1	0	0	//정상											
8	3	28	2	0	1	1	0	0	//정상											
8	4	32	2	0	1	1	0	0	//정상											
8	5	24	2	0	1	0	0	0	//정상											
8	6	3	3	2	0	2	0	2	//정상											
8	7	9	2	0	1	1	1	1	//정상											
8	8	5	3	5	0	2	2	2	//정상											
8	9	17	2	0	0	1	1	0	//정상											
9	0	1	3	3	2	0	0	2	//정상											
9	1	16	2	0	1	0	1	0	//정상											
9	2	4	2	0	1	0	0	0	//정상											
9	3	9	2	0	1	0	0	1	//정상											
9	4	33	3	2	2	0	2	2	//정상											
9	5	37	2	0	0	0	1	1	//정상											
9	6	12	2	0	1	0	1	0	//정상											
9	7	6	2	0	1	0	0	0	//정상											
9	8	24	3	4	2	0	0	2	//정상											
9	9	18	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
10	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	34	3	0	0	2	0	2	//정상											
0	1	7	2	0	0	0	1	1	//정상											
0	2	17	2	0	0	0	1	1	//정상											
0	3	10	2	0	0	0	1	1	//정상											
0	4	11	3	1	0	0	2	2	//정상											
0	5	34	2	0	0	0	1	1	//정상											
0	6	33	3	0	0	0	2	2	//정상											
0	7	15	2	0	0	0	1	1	//정상											
0	8	37	2	0	0	0	1	1	//정상											
0	9	20	3	5	0	2	2	0	//정상											
1	0	2	2	0	1	1	0	1	//정상											
1	1	12	2	0	0	1	1	0	//정상											
1	2	25	3	0	0	2	0	0	//정상											
1	3	32	2	0	0	1	0	0	//정상											
1	4	24	3	5	0	2	0	2	//정상											
1	5	8	3	2	0	0	2	2	//정상											
1	6	31	2	0	0	0	1	1	//정상											
1	7	21	2	0	0	0	1	1	//정상											
1	8	5	2	0	0	0	1	1	//정상											
1	9	13	2	0	1	0	1	0	//정상											
2	0	12	2	0	1	1	0	0	//정상											
2	1	1	2	0	1	1	0	0	//정상											
2	2	25	2	0	1	1	0	1	//정상											
2	3	30	3	3	2	2	2	2	//정상											
2	4	28	4	0	1	0	1	0	//정상											
2	5	32	3	4	0	2	0	2	//정상											
2	6	29	2	0	0	0	1	1	//정상											
2	7	24	2	0	0	1	1	1	//정상											
2	8	30	3	3	0	2	2	0	//정상											
2	9	9	2	0	0	1	0	0	//정상											
3	0	0	2	0	1	1	0	0	//정상											
3	1	32	3	0	2	2	0	0	//정상											
3	2	27	2	0	1	1	0	1	//정상											
3	3	26	3	3	2	2	2	2	//정상											
3	4	15	3	2	0	0	2	0	//정상											
3	5	3	2	0	1	1	0	1	//정상											
3	6	16	2	0	0	1	1	0	//정상											
3	7	19	3	4	2	2	0	2	//정상											
3	8	22	2	0	1	0	1	1	//정상											
3	9	4	3	0	2	0	2	0	//정상											
4	0	19	3	1	2	2	0	0	//정상											
4	1	26	3	5	2	2	0	2	//정상											
4	2	36	3	4	2	2	2	2	//정상											
4	3	8	2	0	1	1	1	1	//정상											
4	4	37	3	0	0	0	2	0	//정상											
4	5	6	2	0	1	1	0	0	//정상											
4	6	2	3	1	2	2	0	0	//정상											
4	7	17	2	0	1	1	0	1	//정상											
4	8	9	3	4	0	0	2	2	//정상											
4	9	9	2	0	0	0	1	0	//정상											
5	0	0	2	0	1	1	0	0	//정상											
5	1	2	2	0	1	1	0	0	//정상											
5	2	25	3	0	2	2	0	2	//정상											
5	3	9	3	3	2	2	2	2	//정상											
5	4	16	3	4	0	0	2	0	//정상											
5	5	1	3	5	2	2	0	0	//정상											
5	6	9	2	0	1	1	0	0	//정상											
5	7	22	2	0	1	1	0	1	//정상											
5	8	22	2	0	0	1	1	1	//정상											
5	9	13	2	0	0	0	1	0	//정상											
6	0	11	2	0	1	1	0	0	//정상											
6	1	2	2	0	1	1	0	0	//정상											
6	2	12	2	0	1	1	0	1	//정상											
6	3	31	2	0	1	1	1	1	//정상											
6	4	25	3	1	0	2	2	0	//정상											
6	5	3	2	0	1	1	0	0	//정상											
6	6	26	2	0	1	1	0	0	//정상											
6	7	4	3	5	2	2	0	2	//정상											
6	8	36	3	1	2	0	2	2	//정상											
6	9	27	2	0	0	0	1	0	//정상											
7	0	30	3	1	2	2	0	2	//정상											
7	1	29	2	0	1	0	1	0	//정상											
7	2	4	2	0	1	0	0	1	//정상											
7	3	12	3	3	2	0	2	2	//정상											
7	4	18	3	4	2	0	2	2	//정상											
7	5	34	2	0	1	0	1	1	//정상											
7	6	25	3	1	2	0	2	2	//정상											
7	7	28	1	0	1	1	1	1	//정상											
7	8	32	3	4	0	0	2	2	//정상											
7	9	32	2	0	0	0	1	0	//정상											
8	0	12	2	0	1	1	0	0	//정상											
8	1	15	3	1	0	2	0	0	//정상											
8	2	14	2	0	0	1	0	1	//정상											
8	3	0	3	2	0	2	2	2	//정상											
8	4	3	3	0	0	0	2	2	//정상											
8	5	22	2	0	0	0	1	1	//정상											
8	6	0	2	0	0	0	1	1	//정상											
8	7	5	3	3	2	2	2	2	//정상											
8	8	12	2	0	0	1	1	1	//정상											
8	9	12	2	0	0	1	1	0	//정상											
9	0	8	3	5	2	0	0	2	//정상											
9	1	12	2	0	1	0	1	1	//정상											
9	2	9	2	0	1	0	1	0	//정상											
9	3	31	2	0	1	0	0	1	//정상											
9	4	35	3	5	0	0	2	2	//정상											
9	5	2	2	0	0	0	1	1	//정상											
9	6	3	2	0	0	0	1	1	//정상											
9	7	19	2	0	1	0	1	1	//정상											
9	8	28	2	0	1	0	1	1	//정상											
9	9	9	3	2	2	0	2	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
11	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	12	2	0	0	1	0	1	//정상											
0	1	8	3	3	0	2	2	2	//정상											
0	2	10	2	0	0	1	1	0	//정상											
0	3	30	2	0	0	1	0	1	//정상											
0	4	35	2	0	0	1	1	1	//정상											
0	5	14	2	0	0	1	1	1	//정상											
0	6	19	3	3	0	2	2	2	//정상											
0	7	3	3	1	0	2	2	2	//정상											
0	8	7	2	0	0	1	1	1	//정상											
0	9	12	2	0	0	1	1	0	//정상											
1	0	17	2	0	1	1	0	0	//정상											
1	1	21	2	0	1	1	0	0	//정상											
1	2	21	2	0	1	1	0	0	//정상											
1	3	35	3	1	2	2	0	2	//정상											
