////////////////////////////////////////////////////////////////////////////////									
//	[ Text  Version ]	0.0.7.8							
//	[ 최종 작업자 ]	사재일							
//	[ 최종 작업일 ]	2015-08-11-04:53 PM							
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가							
////////////////////////////////////////////////////////////////////////////////									
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가									
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며									
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것									
									
									
//Index	Viewport index	Item Index		Name	Type	알림	Clear type	설명	
318	298	255	255	"Detection Enhancement"	0	0	1	"Temporarily detects the location of nearby creatures / (results last for 1 minute)."	0
319	299	255	255	"Demolish Enhancement"	0	1	1	"Ignores the enemy's defense by %d when attacking."	1
320	299	255	255	"Demolish Mastery"	0	1	1	"Ignores the enemy's defense by %d when attacking."	1
321	300	255	255	"Demolish - Decreases Skill Damage"	1	0	1	""	1
// 15-2 시즌 선점 (2020-01-07 박혜진)									
// 2차 가디언 아이템 탈것 버프 설정 등록 (2020-01-07 박혜진)									
322	290	12	483	"Ice Dragon Mount"	0	0	1	"Guardian Mount Item"	0
323	290	12	484	"Ice Dragon(Rare) Mount"	0	0	1	"Guardian Mount Item"	0
// Season15 P.2 - 흑기사 리뉴얼 버프스킬 개발 (2020-01-29 사재일)									
324	301	255	255	"Sword Wrath"	0	1	1	"Rage mode. Increases the range and damage of blow type attack skills."	0
325	302	255	255	"Strong Belief"	0	1	1	"Belief mode. Stat efficiency is changed and you can use Solid Protection skills."	0
326	303	255	255	"Solid Protection"	0	1	1	"Increases the damage of the party member, absorbs the party member HP, and takes part of the damage instead."	0
327	301	255	255	"Sword Wrath Enhancement"	0	1	1	"Rage mode. Increases the range and damage of blow type attack skills."	0
328	301	255	255	"Sword Wrath Mastery"	0	1	1	"Rage mode. Increases the range and damage of blow type attack skills."	0
329	303	255	255	"Solid Protection Enhancement"	0	1	1	"Increases the damage of the party member, absorbs the party member HP, and takes part of the damage instead."	0
330	303	255	255	"Solid Protection Skill"	0	1	1	"Increases the damage of the party member, absorbs the party member HP, and takes part of the damage instead."	0
331	303	255	255	"Solid Protection Mastery"	0	1	1	"Increases the damage of the party member, absorbs the party member HP, and takes part of the damage instead."	0
332	303	255	255	"Solid Protection Mastery"	0	1	1	"Increases the damage of the party member, absorbs the party member HP, and takes part of the damage instead."	0
333	304	255	255	"Solid Protection Effect"	0	1	1	"Dark Knight Protection Effect"	0
334	302	255	255	"Strong Belief Skill Enhancement"	0	1	1	"Belief mode. Stat efficiency is changed and you can use Solid Protection skills."	0
335	303	255	255	"Solid Protection Skill Enhancement"	0	1	1	"Increases the damage of the party member, absorbs the party member HP, and takes part of the damage instead."	0
336	302	255	255	"Strong Belief Enhancement"	0	1	1	"Belief mode. Stat efficiency is changed and you can use Solid Protection skills."	0
end
