///////////////////////////////////////////////////////////////////////////////////////////////				
//	[ Text Version ]			
//	[ 국가]			
//	[ 사용]			
//	[ Athor ]			
//	[ Data ]			
//	[ 내용 ]			
///////////////////////////////////////////////////////////////////////////////////////////////				
// MAX : 1024				
//Monster Index	Ypose	징표값	속성 이펙트 표시여부	NPCName (ENG)
//블러드캐슬				
//블러드캐슬1				
658	0	0	0	"Cursed Statue"
659	0	0	0	"Captured Stone Statue"
660	0	0	0	"Captured Stone Statue"
661	0	0	0	"Captured Stone Statue"
662	0	0	0	"Captured Stone Statue"
663	0	0	0	"Captured Stone Statue"
664	0	0	0	"Captured Stone Statue"
665	0	0	0	"Captured Stone Statue"
666	0	0	0	"Captured Stone Statue"
667	0	0	0	"Captured Stone Statue"
668	0	0	0	"Captured Stone Statue"
// 통합전장 신규NPC 추가				
669	1	0	0	"Ellin"
// 우르크산 몬스터 추가(2013-06-17 김의건)				
670	270	0	1	"Uruk Devil Fairy"
671	260	0	1	"Uruk Elemental Beast"
672	250	0	1	"Uruk Elemental Knight"
673	320	0	0	"Lord Silvester"
//알을 품은 몬스터 이벤트관련 추가 (2013-07-24 박혜진)				
674	110	0	0	"Moon Rabbit"
675	130	0	0	"Pouch of Blessing"
676	160	0	0	"Fire Flame Ghost"
677	130	0	0	"Golden Goblin"
// 우르크산 소환 몬스터 추가(2013-09-4 김의건)				
678	290	0	1	"Lord Devil Fairy"
679	280	0	1	"Lord Elemental Beast"
680	270	0	1	"Lord Elemental Knight"
// 각성몬스터이벤트(2013-09-27 최유진)		0	0	
681	160	0	0	"Evomon"
//이벤트 교환 NPC 추가 (2013-10-24 박혜진)				
682	0	0	0	"Monica"
//통합전장 NPC 추가 (2013-11-19 사재일)				
683	0	0	0	"Marce"
684	0	0	0	"Silvia"
685	0	0	0	"Izabel"
686	0	0	0	"Sophia (repair)"
687	0	0	0	"Bolo (repair)"
688	0	0	0	"Christine"
//우르크산 트랩 추가 (2013-12-16 김의건)				
689	0	0	0	"Flame Trap"
// 각성몬스터이벤트(2013-12-26 최유진)		0		
690	280	0	0	"Special Evomon"
// 신년 이벤트 몬스터 추가(2014-01-09 김의건)				
691	220	0	0	"New Year Horse (Green)"
692	220	0	0	"New Year Horse (Yellow)"
693	220	0	0	"New Year Horse (Brown)"
694	220	0	0	"New Year Horse (Blue)"
// 시련의 광장(일반) NPC & 이벤트 몬스터 추가 (2014-02-10 사재일)				
695	0	0	0	"Levine"
//696	130	0	0	"Golden Goblin"
//697	130	0	0	"Golden Goblin"
//698	130	0	0	"Golden Goblin"
//699	130	0	0	"Golden Goblin"
//700	340	0	0	"Golden Tantalos"
//701	400	0	0	"Golden Erohim"
//702	375	0	0	"Golden Hell Maine"
//703	400	0	0	"Golden Kundun"
// 각성몬스터이벤트(2013-12-26 최유진)				
704	220	0	0	"Evolution Succeeded"
705	220	0	0	"Evolution Failed"
// 어둠의 변신반지 추가 (2014-02-25 사재일)				
706	0	0	0	"Darkness Transformation Ring"
// 마스터 스킬 리뉴얼에 대한 소환 몬스터 추가 (2014-04-24 홍승욱)				
707	160	0	0	"Phantom of Dark Wizard"
708	160	0	0	"Paralyze Barrier"
// 시련의 광장(일반) NPC & 이벤트 몬스터 추가 (2014-05-13 11:49 AM 사재일)				
709	150	1	0	"Chaos Goblin"
710	150	1	0	"Chaos Goblin"
711	150	1	0	"Chaos Goblin"
712	150	1	0	"Chaos Goblin"
// 나르스 몬스터 추가 (2014-09-01 5:33 PM 박혜진)				
713	270	0	1	"Nars Devil Fairy"
714	260	0	1	"Nars Elemental Beast"
715	250	0	1	"Nars Elemental Knight"
716	320	0	0	"Core Magriffy"
717	320	0	0	"Core Magriffy"
718	320	0	0	"Core Magriffy"
// 이벤트맵 리뉴얼 광장 NPC 추가 (2014-10-14 7:23 PM 박혜진)				
719	0	0	0	"Archangel's Spirit"
720	0	0	0	"Charon"
721	0	0	0	"Jerint the Assistant"
722	0	0	0	"Mirage"
723	0	0	0	"Rugard"
724	0	0	0	"Chaos Goblin"
725	0	0	0	"Priest James"
// 신년이벤트 몬스터 추가 (2014-12-18) 최유진				
726	110	0	0	"Green Sheep"
727	110	0	0	"White Sheep"
728	110	0	0	"Purple Sheep"
729	110	0	0	"Red Sheep"
// season11 Part.1 - 페리아 (2015-06-09) 사재일				
730	270	0	1	"Ferea Knight"
731	260	0	1	"Ferea Archer"
732	250	0	1	"Ferea Fighter"
733	320	0	0	"Ferea General"
734	320	0	0	"Lord of Ferea"
735	150	0	0	"Ferea Crystal Orb"
736	270	0	1	"Ferea Knight"
737	260	0	1	"Ferea Archer"
738	250	0	1	"Ferea Fighter"
// 신년이벤트 원숭이 몬스터 추가 (2015-12-23) 최유진				
739	110	0	0	"Green Monkey"
740	110	0	0	"White Monkey"
741	110	0	0	"Purple Monkey"
742	110	0	0	"Red Monkey"
// season12 Part1 - 닉시스 호수 몬스터 추가(2016-07-27 박혜진)				
743	260	0	1	"Paraca"
744	260	0	1	"Bass"
745	260	0	1	"Vasuki"
746	400	0	1	"Nix"
747	260	0	1	"Crystal Stone"
748	260	0	0	"The Spirit of Nixon"
// season12 Part1 - 차원의 미궁 몬스터 추가(2016-07-29 박혜진)				
749	260	0	0	"Elena"
750	260	0	0	"Portal 1"
751	260	0	0	"Portal 2"
752	260	0	0	"Portal 3"
753	260	0	0	"Portal 4"
754	260	0	0	"Great Sword of Kundun"
755	260	0	0	"Soldier of Kundun"
756	260	0	0	"Lancer of Kundun"
757	260	0	0	"Ruler of Kundun"
758	260	0	0	"Portal of Dimension"
// 신년이벤트 닭 몬스터 추가 (2016-12-19) 최유진				
759	110	0	0	"Green Rooster"
760	110	0	0	"White Rooster"
761	110	0	0	"Purple Rooster"
762	110	0	0	"Red Rooster"
// 4차 전직 퀘스트 NPC & 몬스터 (2017-02-21 사재일)				
763	260	0	0	"Cent(Monster)"
764	260	0	0	"Cent(Town)"
765	260	0	0	"Cent(Entrance)"
766	260	0	0	"Cent(Quest)"
// 리뉴얼 던전 몬스터 추가 (2017-03-14 사재일)				
767	200	0	1	"Deep Dungeon Skeleton Warrior"
768	240	0	1	"Deep Dungeon Skeleton Archer"
769	250	0	1	"Deep Dungeon Elite Skeleton Warrior"
770	80	0	1	"Deep Dungeon Larva"
771	220	0	1	"Deep Dungeon Cyclops"
772	205	0	1	"Deep Dungeon Ghost"
773	245	0	1	"Deep Dungeon Hell Hound"
774	220	0	1	"Deep Dungeon Hell Spider"
775	215	0	1	"Deep Dungeon Thunder Lich"
776	210	0	1	"Deep Dungeon Poison Bull Fighter"
777	200	0	1	"Deep Dungeon Dark Knight"
778	300	0	1	"Deep Dungeon Gorgon"
//악마의광장7_확장 (2017-05-26 4차 전직 고려 밸런스 추가)				
779	285	0	0	"Bloody Soldier"
780	270	0	0	"Necron"
781	270	0	0	"Balram"
782	280	0	0	"Soram"
783	280	0	0	"Sapi Queen"
784	330	0	0	"Ice Napin"
785	350	0	0	"Dark Iron Knight"	
//어둠의늪(2017-09-07 최유진)	
786	250	0	1	"Swarm Prime"
787	240	0	1	"Wooden Beast"
788	280	0	1	"Swamp Wizard"
789	220	0	1	"Mutton Tile"
790	280	0	1	"Monster of the Swamp"
791	200	0	1	"Pet of the Swamp"
792	200	0	1	"Pet of the Swamp"
793	390	0	1	"Monster of the Water"
794	390	0	1	"God of Darkness"
// 신년이벤트 강아지 몬스터 추가 (2017-12-19) 조성우				
795	110	0	0	"Puppy (Green)"
796	110	0	0	"Puppy (White)"
797	110	0	0	"Puppy (Purple)"
798	110	0	0	"Puppy (Yellow)"
end
