// 서버, 클라이언트 사용 스크립트																				
																				
//차원의 미궁 지역으로 사용할 기존 맵 설정																				
0																				
//인덱스	맵 번호	시작X	시작Y	종료X	종료Y															
4	0	22	2	0	1	1	0	0	//정상											
4	1	24	3	1	2	2	0	2	//정상											
4	2	2	3	2	2	2	2	2	//정상											
4	3	18	3	3	0	0	2	0	//정상											
4	4	24	2	0	1	1	0	0	//정상											
4	5	5	2	0	1	1	0	1	//정상											
4	6	23	2	0	1	1	1	0	//정상											
5	0	1	2	0	1	0	0	1	//정상											
5	1	15	3	3	2	2	2	0	//정상											
5	2	16	3	3	2	2	0	2	//정상											
5	3	2	2	0	0	1	1	0	//정상											
5	4	4	2	0	1	1	0	0	//정상											
5	5	12	2	0	1	1	0	1	//정상											
5	6	4	2	0	1	1	1	0	//정상											
6	0	5	3	4	0	0	0	2	//정상											
6	1	17	2	0	1	0	1	1	//정상											
6	2	14	2	0	1	0	1	0	//정상											
6	3	6	2	0	1	0	0	1	//정상											
6	4	13	2	0	1	0	1	0	//정상											
6	5	22	3	0	2	0	0	2	//정상											
6	6	15	1	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
15	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	13	2	0	0	1	0	1	//정상											
0	1	18	2	0	0	1	1	1	//정상											
0	2	18	2	0	0	1	1	1	//정상											
0	3	11	3	3	0	2	2	2	//정상											
0	4	18	1	0	0	1	1	1	//정상											
0	5	4	3	6	0	2	2	2	//정상											
0	6	17	2	0	0	1	1	0	//정상											
1	0	15	3	6	2	2	0	0	//정상											
1	1	0	3	3	2	2	0	2	//정상											
1	2	5	2	0	1	0	1	1	//정상											
1	3	17	3	4	2	0	2	2	//정상											
1	4	22	3	0	2	0	2	0	//정상											
1	5	15	2	0	1	1	0	1	//정상											
1	6	2	2	0	1	1	1	0	//정상											
2	0	6	2	0	1	0	0	1	//정상											
2	1	13	2	0	1	0	1	1	//정상											
2	2	22	2	0	0	1	1	1	//정상											
2	3	17	3	4	0	2	2	2	//정상											
2	4	22	2	0	0	1	1	1	//정상											
2	5	10	3	6	2	2	2	2	//정상											
2	6	2	3	6	2	2	2	0	//정상											
3	0	20	4	2	0	0	0	1	//정상											
3	1	16	3	5	0	2	2	0	//정상											
3	2	22	3	6	2	0	0	0	//정상											
3	3	17	2	0	1	0	0	0	//정상											
3	4	2	3	6	2	0	0	0	//정상											
3	5	22	2	0	1	1	0	1	//정상											
3	6	15	2	0	1	1	1	0	//정상											
4	0	0	2	0	0	1	0	1	//정상											
4	1	14	2	0	1	0	1	0	//정상											
4	2	14	2	0	0	1	0	1	//정상											
4	3	3	3	3	0	2	2	2	//정상											
4	4	14	2	0	0	1	1	1	//정상											
4	5	5	2	0	1	1	1	1	//정상											
4	6	22	2	0	1	1	1	0	//정상											
5	0	0	3	0	2	2	0	2	//정상											
5	1	22	2	0	0	1	1	1	//정상											
5	2	0	2	0	1	1	1	0	//정상											
5	3	22	3	6	2	2	0	2	//정상											
5	4	22	2	0	1	1	1	1	//정상											
5	5	19	3	6	2	2	2	2	//정상											
5	6	19	2	0	1	1	1	0	//정상											
6	0	6	2	0	1	0	0	0	//정상											
6	1	12	3	6	2	0	0	2	//정상											
6	2	15	2	0	1	0	1	0	//정상											
6	3	19	2	0	1	0	0	0	//정상											
6	4	7	3	1	2	0	0	0	//정상											
6	5	13	2	0	1	0	0	1	//정상											
6	6	16	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
16	4	8	8																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	19	3	2	0	2	0	2	//정상											
0	1	15	3	3	0	0	2	2	//정상											
0	2	2	2	0	0	1	1	1	//정상											
0	3	0	2	0	0	1	1	0	//정상											
0	4	14	3	0	0	0	0	2	//정상											
0	5	3	2	0	0	0	1	1	//정상											
0	6	14	3	5	0	2	2	2	//정상											
0	7	11	1	0	0	1	1	0	//정상											
1	0	4	2	0	1	1	0	1	//정상											
1	1	0	2	0	0	0	1	1	//정상											
1	2	13	2	0	1	1	1	1	//정상											
1	3	11	2	0	1	1	1	1	//정상											
1	4	3	3	6	0	0	2	0	//정상											
1	5	22	3	3	0	2	0	2	//정상											
1	6	23	2	0	1	1	1	1	//정상											
1	7	0	3	4	2	0	2	0	//정상											
2	0	14	2	0	1	1	0	0	//정상											
2	1	11	4	3	0	1	0	0	//정상											
2	2	23	2	0	1	1	0	1	//정상											
2	3	6	2	0	1	0	1	0	//정상											
2	4	2	3	6	0	2	0	2	//정상											
2	5	2	3	5	2	2	2	2	//정상											
2	6	16	2	0	1	0	1	1	//정상											
2	7	0	2	0	0	1	1	0	//정상											
3	0	19	2	0	1	0	0	1	//정상											
3	1	8	2	0	1	0	1	0	//정상											
3	2	24	2	0	1	1	0	1	//정상											
3	3	13	2	0	0	1	1	1	//정상											
3	4	0	3	5	2	0	2	2	//정상											
3	5	1	3	4	2	2	2	2	//정상											
3	6	14	2	0	0	1	1	0	//정상											
3	7	17	2	0	1	1	0	0	//정상											
4	0	8	3	1	0	2	0	2	//정상											
4	1	6	3	3	0	0	2	2	//정상											
4	2	9	3	1	2	2	2	2	//정상											
4	3	4	3	5	2	2	2	2	//정상											
4	4	16	3	3	0	0	2	2	//정상											
4	5	2	2	0	1	1	1	0	//정상											
4	6	16	2	0	1	1	0	0	//정상											
4	7	1	2	0	1	1	0	0	//정상											
5	0	17	2	0	1	0	0	1	//정상											
5	1	23	2	0	0	1	1	1	//정상											
5	2	4	2	0	1	0	1	1	//정상											
5	3	5	2	0	1	0	1	1	//정상											
5	4	5	3	0	0	2	2	2	//정상											
5	5	16	2	0	1	1	1	0	//정상											
5	6	24	2	0	1	1	0	0	//정상											
5	7	24	2	0	1	1	0	0	//정상											
6	0	7	3	0	0	0	0	2	//정상											
6	1	0	2	0	1	1	1	1	//정상											
6	2	22	2	0	0	1	1	1	//정상											
6	3	21	2	0	0	1	1	1	//정상											
6	4	21	2	0	1	1	1	1	//정상											
6	5	16	3	2	2	2	2	2	//정상											
6	6	8	2	0	1	1	1	0	//정상											
6	7	14	2	0	1	1	0	0	//정상											
7	0	5	3	2	0	0	0	2	//정상											
7	1	5	3	5	2	0	2	2	//정상											
7	2	20	2	0	1	0	1	1	//정상											
7	3	24	3	0	2	0	2	2	//정상											
7	4	17	3	6	2	0	2	2	//정상											
7	5	17	3	2	2	0	2	2	//정상											
7	6	17	2	0	1	0	1	1	//정상											
7	7	17	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
17	4	8	8																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	12	3	1	0	2	0	2	//정상											
0	1	1	2	0	0	1	1	1	//정상											
0	2	7	3	5	0	2	2	2	//정상											
0	3	11	2	0	0	0	1	1	//정상											
0	4	3	3	5	0	0	2	2	//정상											
0	5	21	2	0	0	0	1	1	//정상											
0	6	10	2	0	0	0	1	1	//정상											
0	7	16	3	5	0	0	2	0	//정상											
1	0	7	3	1	2	2	0	2	//정상											
1	1	4	1	0	1	1	1	0	//정상											
1	2	1	3	6	2	2	0	2	//정상											
1	3	9	2	0	0	1	1	1	//정상											
1	4	16	2	0	0	1	1	1	//정상											
1	5	15	2	0	0	1	1	1	//정상											
1	6	14	2	0	0	1	1	1	//정상											
1	7	9	3	3	0	0	2	0	//정상											
2	0	6	2	0	1	0	0	0	//정상											
2	1	3	2	0	1	1	0	1	//정상											
2	2	6	2	0	1	1	1	1	//정상											
2	3	10	3	6	2	2	2	2	//정상											
2	4	2	3	4	2	0	2	2	//정상											
2	5	1	3	5	2	2	2	2	//정상											
2	6	6	2	0	1	1	1	1	//정상											
2	7	8	3	5	0	2	2	0	//정상											
3	0	0	2	0	0	1	0	1	//정상											
3	1	11	2	0	1	1	1	1	//정상											
3	2	5	2	0	1	1	1	0	//정상											
3	3	14	2	0	1	1	0	0	//정상											
3	4	9	3	2	0	0	0	2	//정상											
3	5	13	3	1	2	2	2	2	//정상											
3	6	21	2	0	1	1	1	1	//정상											
3	7	16	3	5	2	2	2	0	//정상											
4	0	2	2	0	1	1	0	1	//정상											
4	1	10	3	3	2	2	2	2	//정상											
4	2	19	2	0	1	1	1	1	//정상											
4	3	16	2	0	1	1	1	0	//정상											
4	4	3	3	3	0	2	0	2	//정상											
4	5	15	2	0	1	1	1	1	//정상											
4	6	15	3	0	2	2	2	2	//정상											
4	7	16	3	1	2	0	2	0	//정상											
5	0	2	2	0	1	1	0	1	//정상											
5	1	12	2	0	1	1	1	1	//정상											
5	2	19	3	6	2	2	2	2	//정상											
5	3	14	3	3	2	2	2	0	//정상											
5	4	11	2	0	1	1	0	1	//정상											
5	5	19	2	0	1	1	1	0	//정상											
5	6	12	2	0	1	1	0	1	//정상											
5	7	16	3	6	0	2	2	0	//정상											
6	0	9	3	6	2	2	0	2	//정상											
6	1	18	2	0	1	1	1	1	//정상											
6	2	12	3	2	2	2	2	2	//정상											
6	3	10	2	0	1	1	1	0	//정상											
6	4	12	2	0	1	1	0	1	//정상											
6	5	7	2	0	1	0	1	0	//정상											
6	6	19	4	3	1	0	0	0	//정상											
6	7	20	2	0	1	1	0	0	//정상											
7	0	18	2	0	1	0	0	1	//정상											
7	1	6	2	0	1	0	1	1	//정상											
7	2	9	2	0	1	0	1	1	//정상											
7	3	10	2	0	1	0	1	0	//정상											
7	4	14	2	0	1	0	0	1	//정상											
7	5	5	2	0	0	0	1	1	//정상											
7	6	8	2	0	0	0	1	1	//정상											
7	7	2	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
18	4	8	8																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	2	2	0	0	1	0	1	//정상											
0	1	2	1	0	0	1	1	1	//정상											
0	2	18	3	3	0	2	2	2	//정상											
0	3	23	2	0	0	1	1	1	//정상											
0	4	2	2	0	0	1	1	1	//정상											
0	5	24	3	1	0	0	2	0	//정상											
0	6	3	4	3	0	0	0	1	//정상											
0	7	11	2	0	0	1	1	0	//정상											
1	0	21	2	0	1	1	0	1	//정상											
1	1	7	3	5	2	2	2	2	//정상											
1	2	1	2	0	1	1	1	1	//정상											
1	3	4	3	2	2	0	2	0	//정상											
1	4	22	3	0	2	2	0	2	//정상											
1	5	2	3	1	0	0	2	0	//정상											
1	6	16	2	0	0	1	0	1	//정상											
1	7	21	2	0	1	1	1	0	//정상											
2	0	16	2	0	1	1	0	1	//정상											
2	1	17	2	0	1	0	1	1	//정상											
2	2	20	2	0	1	0	1	0	//정상											
2	3	4	2	0	0	1	0	1	//정상											
2	4	1	2	0	1	1	1	0	//정상											
2	5	16	2	0	0	1	0	1	//정상											
2	6	1	3	4	2	2	2	2	//정상											
2	7	17	3	6	2	2	2	0	//정상											
3	0	15	2	0	1	1	0	0	//정상											
3	1	23	3	1	0	2	0	2	//정상											
3	2	12	2	0	0	1	1	1	//정상											
3	3	8	2	0	1	1	1	1	//정상											
3	4	3	3	5	2	2	2	0	//정상											
3	5	10	2	0	1	1	0	0	//정상											
3	6	23	2	0	1	0	0	0	//정상											
3	7	2	2	0	1	1	0	0	//정상											
4	0	8	2	0	1	1	0	0	//정상											
4	1	1	3	2	2	2	0	2	//정상											
4	2	2	2	0	1	1	1	0	//정상											
4	3	21	2	0	1	0	0	0	//정상											
4	4	20	3	0	2	2	0	0	//정상											
4	5	10	2	0	1	1	0	1	//정상											
4	6	11	2	0	0	1	1	1	//정상											
4	7	0	3	5	2	0	2	0	//정상											
5	0	9	2	0	1	1	0	0	//정상											
5	1	2	2	0	1	1	0	1	//정상											
5	2	22	3	4	2	2	2	0	//정상											
5	3	2	3	3	0	2	0	0	//정상											
5	4	9	2	0	1	1	0	0	//정상											
5	5	14	3	6	2	2	0	0	//정상											
5	6	8	2	0	1	1	0	1	//정상											
5	7	23	3	3	0	0	2	0	//정상											
6	0	12	3	3	2	2	0	0	//정상											
6	1	8	2	0	1	1	0	1	//정상											
6	2	4	2	0	1	1	1	1	//정상											
6	3	15	2	0	1	1	1	1	//정상											
6	4	17	3	5	2	2	2	2	//정상											
6	5	23	2	0	1	1	1	1	//정상											
6	6	19	2	0	1	0	1	1	//정상											
6	7	5	2	0	0	1	1	0	//정상											
7	0	23	3	5	2	0	0	2	//정상											
7	1	19	3	0	2	0	2	0	//정상											
7	2	19	2	0	1	0	0	1	//정상											
7	3	19	2	0	1	0	1	1	//정상											
7	4	6	2	0	1	0	1	0	//정상											
7	5	22	3	4	2	0	0	2	//정상											
7	6	21	2	0	0	0	1	1	//정상											
7	7	7	3	3	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
19	5	9	9																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	15	2	0	0	1	0	1	//정상											
0	1	1	3	3	0	2	2	2	//정상											
0	2	4	2	0	0	1	1	1	//정상											
0	3	7	3	5	0	2	2	2	//정상											
0	4	12	3	3	0	2	2	0	//정상											
0	5	20	2	0	0	1	0	1	//정상											
0	6	11	2	0	0	1	1	0	//정상											
0	7	9	3	2	0	0	0	2	//정상											
0	8	0	2	0	0	1	1	0	//정상											
1	0	9	3	4	2	2	0	2	//정상											
1	1	6	3	4	2	2	2	2	//정상											
1	2	14	2	0	1	1	1	1	//정상											
1	3	7	3	5	2	0	2	2	//정상											
1	4	24	3	3	2	2	2	0	//정상											
1	5	1	2	0	1	1	0	0	//정상											
1	6	14	2	0	1	0	0	1	//정상											
1	7	24	4	4	0	0	1	0	//정상											
1	8	7	2	0	1	1	0	0	//정상											
2	0	17	2	0	1	1	0	1	//정상											
2	1	21	3	1	2	2	2	0	//정상											
2	2	22	3	6	2	2	0	2	//정상											
2	3	1	2	0	0	1	1	1	//정상											
2	4	12	3	6	2	2	2	0	//정상											
2	5	2	3	6	2	0	0	2	//정상											
2	6	16	2	0	0	0	1	1	//정상											
2	7	20	2	0	0	1	1	1	//정상											
2	8	20	3	4	2	2	2	0	//정상											
3	0	17	2	0	1	0	0	1	//정상											
3	1	10	3	4	2	2	2	0	//정상											
3	2	5	2	0	1	1	0	0	//정상											
3	3	23	2	0	1	0	0	1	//정상											
3	4	13	2	0	1	1	1	1	//정상											
3	5	17	3	6	0	2	2	0	//정상											
3	6	12	3	1	0	2	0	0	//정상											
3	7	13	2	0	1	1	0	1	//정상											
3	8	3	3	2	2	0	2	0	//정상											
4	0	19	3	5	0	2	0	2	//정상											
4	1	23	3	0	2	2	2	0	//정상											
4	2	22	2	0	1	1	0	1	//정상											
4	3	17	3	2	0	0	2	0	//정상											
4	4	4	2	0	1	0	0	1	//정상											
4	5	16	2	0	1	0	1	1	//정상											
4	6	20	2	0	1	0	1	1	//정상											
4	7	1	3	0	2	2	2	2	//정상											
4	8	2	2	0	0	0	1	0	//정상											
5	0	5	2	0	1	1	0	1	//정상											
5	1	24	2	0	1	1	1	0	//정상											
5	2	21	2	0	1	0	0	1	//정상											
5	3	4	2	0	0	0	1	1	//정상											
5	4	14	2	0	0	1	1	1	//정상											
5	5	21	3	0	0	2	2	0	//정상											
5	6	15	3	4	0	2	0	0	//정상											
5	7	10	2	0	1	1	0	1	//정상											
5	8	2	2	0	0	1	1	0	//정상											
6	0	0	2	0	1	1	0	1	//정상											
6	1	5	2	0	1	1	1	1	//정상											
6	2	1	3	3	0	2	2	2	//정상											
6	3	8	3	3	0	0	2	0	//정상											
6	4	5	2	0	1	0	0	1	//정상											
6	5	7	2	0	1	0	1	1	//정상											
6	6	1	2	0	1	0	1	1	//정상											
6	7	0	2	0	1	0	1	1	//정상											
6	8	14	2	0	1	1	1	0	//정상											
7	0	2	3	6	2	2	0	2	//정상											
7	1	2	3	6	2	2	2	2	//정상											
7	2	1	2	0	1	0	1	1	//정상											
7	3	4	2	0	0	1	1	0	//정상											
7	4	4	2	0	0	1	0	0	//정상											
7	5	1	3	3	0	2	0	0	//정상											
7	6	21	2	0	0	1	0	0	//정상											
7	7	14	3	3	0	2	0	2	//정상											
7	8	8	2	0	1	1	1	0	//정상											
8	0	8	1	0	1	0	0	1	//정상											
8	1	19	2	0	1	0	1	1	//정상											
8	2	13	3	4	0	0	2	2	//정상											
8	3	16	2	0	1	0	1	1	//정상											
8	4	24	2	0	1	0	1	1	//정상											
8	5	11	2	0	1	0	1	1	//정상											
8	6	13	2	0	1	0	1	1	//정상											
8	7	8	2	0	1	0	1	1	//정상											
8	8	8	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
20	5	9	9																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	13	2	0	0	1	0	1	//정상											
0	1	15	3	1	0	2	2	0	//정상											
0	2	17	3	0	0	0	0	2	//정상											
0	3	19	2	0	0	1	1	0	//정상											
0	4	13	3	1	0	2	0	0	//정상											
0	5	2	2	0	0	1	0	1	//정상											
0	6	9	2	0	0	1	1	0	//정상											
0	7	8	3	1	0	2	0	2	//정상											
0	8	2	2	0	0	1	1	0	//정상											
1	0	18	3	3	2	0	0	2	//정상											
1	1	5	3	0	2	0	2	2	//정상											
1	2	0	2	0	0	0	1	1	//정상											
1	3	24	2	0	1	0	1	1	//정상											
1	4	6	3	4	2	2	2	2	//정상											
1	5	5	3	1	2	2	2	2	//정상											
1	6	13	3	6	2	2	2	2	//정상											
1	7	6	1	0	1	1	1	1	//정상											
1	8	6	3	2	2	2	2	0	//정상											
2	0	18	2	0	0	1	0	1	//정상											
2	1	18	2	0	0	0	1	1	//정상											
2	2	23	3	4	0	0	2	2	//정상											
2	3	0	2	0	0	1	1	0	//정상											
2	4	20	3	3	2	0	0	0	//정상											
2	5	5	2	0	1	1	0	0	//정상											
2	6	5	3	6	2	0	0	2	//정상											
2	7	20	2	0	1	1	1	1	//정상											
2	8	22	2	0	1	1	1	0	//정상											
3	0	5	2	0	1	1	0	1	//정상											
3	1	2	2	0	0	1	1	0	//정상											
3	2	17	2	0	0	1	0	1	//정상											
3	3	1	2	0	1	1	1	0	//정상											
3	4	20	2	0	0	1	0	1	//정상											
3	5	10	3	2	2	2	2	2	//정상											
3	6	14	2	0	0	1	1	1	//정상											
3	7	14	2	0	1	1	1	1	//정상											
3	8	18	2	0	1	1	1	0	//정상											
4	0	20	3	4	2	2	0	2	//정상											
4	1	0	3	2	2	2	2	0	//정상											
4	2	11	2	0	1	0	0	1	//정상											
4	3	18	2	0	1	1	1	0	//정상											
4	4	16	3	3	2	0	0	0	//정상											
4	5	11	2	0	1	1	0	1	//정상											
4	6	9	3	4	2	2	2	2	//정상											
4	7	8	3	3	2	2	2	0	//정상											
4	8	5	3	2	2	0	0	0	//정상											
5	0	8	2	0	1	1	0	1	//정상											
5	1	11	2	0	1	1	1	0	//정상											
5	2	1	3	2	0	0	0	2	//정상											
5	3	12	2	0	1	1	1	1	//정상											
5	4	4	3	4	0	2	2	0	//정상											
5	5	12	3	0	2	0	0	2	//정상											
5	6	24	2	0	1	0	1	1	//정상											
5	7	14	2	0	1	1	1	1	//정상											
5	8	7	2	0	0	1	1	0	//정상											
6	0	0	2	0	1	1	0	0	//정상											
6	1	11	3	2	2	0	0	0	//정상											
6	2	23	2	0	0	1	0	1	//정상											
6	3	23	3	2	2	2	2	2	//정상											
6	4	10	2	0	1	1	1	0	//정상											
6	5	11	2	0	0	1	0	0	//정상											
6	6	3	2	0	0	0	0	1	//정상											
6	7	5	3	4	2	2	2	2	//정상											
6	8	16	2	0	1	1	1	0	//정상											
7	0	8	2	0	1	1	0	0	//정상											
7	1	6	4	4	0	1	0	0	//정상											
7	2	23	2	0	1	1	0	1	//정상											
7	3	4	2	0	1	1	1	1	//정상											
7	4	19	2	0	1	0	1	0	//정상											
7	5	16	3	6	2	2	0	2	//정상											
7	6	0	3	6	0	2	2	2	//정상											
7	7	23	2	0	1	1	1	1	//정상											
7	8	1	2	0	1	1	1	0	//정상											
8	0	24	2	0	1	0	0	1	//정상											
8	1	11	2	0	1	0	1	0	//정상											
8	2	22	3	5	2	0	0	2	//정상											
8	3	2	2	0	1	0	1	1	//정상											
8	4	13	2	0	0	0	1	1	//정상											
8	5	21	2	0	1	0	1	1	//정상											
8	6	15	2	0	1	0	1	0	//정상											
8	7	2	2	0	1	0	0	0	//정상											
8	8	20	3	1	2	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
21	5	9	9																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	10	2	0	0	1	0	1	//정상											
0	1	10	3	6	0	2	2	0	//정상											
0	2	20	3	3	0	2	0	2	//정상											
0	3	2	3	3	0	2	2	2	//정상											
0	4	24	2	0	0	1	1	1	//정상											
0	5	3	2	0	0	1	1	1	//정상											
0	6	22	3	6	0	0	2	0	//정상											
0	7	5	4	4	0	1	0	0	//정상											
0	8	16	3	0	0	2	0	0	//정상											
1	0	9	3	1	2	2	0	2	//정상											
1	1	6	1	0	1	1	1	1	//정상											
1	2	4	3	3	2	2	2	2	//정상											
1	3	2	2	0	1	1	1	1	//정상											
1	4	14	2	0	1	1	1	1	//정상											
1	5	22	3	0	2	2	2	0	//정상											
1	6	17	3	5	0	2	0	2	//정상											
1	7	18	2	0	1	1	1	0	//정상											
1	8	14	2	0	1	1	0	0	//정상											
2	0	10	3	2	2	2	0	0	//정상											
2	1	18	2	0	1	0	0	1	//정상											
2	2	18	2	0	1	1	1	1	//정상											
2	3	9	2	0	1	1	1	1	//정상											
2	4	10	2	0	1	0	1	1	//정상											
2	5	19	3	2	2	0	2	0	//정상											
2	6	20	3	4	2	2	0	2	//정상											
2	7	1	2	0	1	0	1	1	//정상											
2	8	16	2	0	1	1	1	0	//정상											
3	0	4	2	0	1	0	0	1	//정상											
3	1	8	3	2	0	2	2	2	//정상											
3	2	10	2	0	1	1	1	1	//정상											
3	3	9	3	2	2	2	2	0	//정상											
3	4	20	2	0	0	1	0	0	//정상											
3	5	22	2	0	0	1	0	1	//정상											
3	6	24	2	0	1	1	1	0	//정상											
3	7	18	3	0	0	2	0	2	//정상											
3	8	7	2	0	1	1	1	0	//정상											
4	0	11	2	0	0	1	0	1	//정상											
4	1	3	2	0	1	0	1	1	//정상											
4	2	13	3	6	2	2	2	2	//정상											
4	3	14	3	5	2	2	2	0	//정상											
4	4	10	2	0	1	1	0	1	//정상											
4	5	9	3	4	2	0	2	2	//정상											
4	6	13	2	0	1	0	1	1	//정상											
4	7	20	3	3	2	2	2	2	//정상											
4	8	24	2	0	1	0	1	0	//정상											
5	0	16	2	0	1	1	0	1	//정상											
5	1	9	3	0	0	0	2	0	//정상											
5	2	11	2	0	1	0	0	0	//정상											
5	3	12	2	0	1	1	0	0	//정상											
5	4	6	2	0	1	1	0	0	//정상											
5	5	22	2	0	0	0	0	1	//정상											
5	6	8	3	5	0	2	2	2	//정상											
5	7	5	2	0	1	1	1	1	//정상											
5	8	21	3	1	0	2	2	0	//정상											
6	0	6	2	0	1	1	0	1	//정상											
6	1	15	2	0	0	1	1	1	//정상											
6	2	21	3	3	0	2	2	2	//정상											
6	3	0	2	0	1	1	1	0	//정상											
6	4	15	2	0	1	1	0	1	//정상											
6	5	14	2	0	0	0	1	0	//정상											
6	6	8	2	0	1	1	0	1	//정상											
6	7	24	3	0	2	2	2	2	//정상											
6	8	11	3	5	2	2	2	0	//정상											
7	0	15	2	0	1	1	0	1	//정상											
7	1	17	2	0	1	1	1	1	//정상											
7	2	8	3	2	2	2	2	0	//정상											
7	3	21	2	0	1	0	0	1	//정상											
7	4	15	2	0	1	0	1	0	//정상											
7	5	3	2	0	0	1	0	1	//정상											
7	6	23	3	6	2	2	2	2	//정상											
7	7	1	3	3	2	2	2	2	//정상											
7	8	24	2	0	1	1	1	0	//정상											
8	0	9	2	0	1	0	0	1	//정상											
8	1	1	2	0	1	0	1	1	//정상											
8	2	11	2	0	1	0	1	1	//정상											
8	3	9	2	0	0	0	1	1	//정상											
8	4	14	2	0	0	0	1	1	//정상											
8	5	18	3	5	2	0	2	2	//정상											
8	6	11	2	0	1	0	1	1	//정상											
8	7	24	2	0	1	0	1	1	//정상											
8	8	8	3	1	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
22	6	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	15	3	4	0	0	0	2	//정상											
0	1	17	3	0	0	2	2	2	//정상											
0	2	2	2	0	0	0	1	1	//정상											
0	3	0	2	0	0	1	1	1	//정상											
0	4	13	2	0	0	1	1	0	//정상											
0	5	12	3	0	0	2	0	2	//정상											
0	6	24	3	2	0	2	2	0	//정상											
0	7	10	3	6	0	2	0	0	//정상											
0	8	3	2	0	0	1	0	1	//정상											
0	9	1	2	0	0	1	1	0	//정상											
1	0	8	2	0	0	1	0	1	//정상											
1	1	6	2	0	1	0	1	1	//정상											
1	2	17	3	5	0	0	2	2	//정상											
1	3	19	2	0	1	0	1	0	//정상											
1	4	14	2	0	1	1	0	0	//정상											
1	5	14	2	0	1	1	0	1	//정상											
1	6	8	3	6	2	2	2	2	//정상											
1	7	21	2	0	1	0	1	1	//정상											
1	8	7	2	0	1	1	1	1	//정상											
1	9	8	3	5	2	0	2	0	//정상											
2	0	21	2	0	1	1	0	0	//정상											
2	1	11	3	5	0	2	0	2	//정상											
2	2	24	3	1	0	2	2	2	//정상											
2	3	2	2	0	0	1	1	1	//정상											
2	4	15	2	0	1	0	1	0	//정상											
2	5	19	2	0	1	1	0	0	//정상											
2	6	17	3	1	2	2	0	2	//정상											
2	7	2	3	2	0	2	2	2	//정상											
2	8	5	2	0	1	1	1	1	//정상											
2	9	18	3	5	0	0	2	0	//정상											
3	0	21	2	0	1	1	0	1	//정상											
3	1	9	3	0	2	2	2	2	//정상											
3	2	12	3	6	2	2	2	2	//정상											
3	3	6	1	0	1	1	1	1	//정상											
3	4	7	3	0	0	0	2	0	//정상											
3	5	14	4	5	1	0	0	0	//정상											
3	6	15	3	4	2	0	0	2	//정상											
3	7	7	3	0	2	0	2	2	//정상											
3	8	1	2	0	1	1	1	1	//정상											
3	9	8	3	0	0	0	2	0	//정상											
4	0	9	2	0	1	1	0	1	//정상											
4	1	0	2	0	1	0	1	0	//정상											
4	2	24	2	0	1	0	0	1	//정상											
4	3	5	3	0	2	2	2	2	//정상											
4	4	7	2	0	0	0	1	1	//정상											
4	5	0	3	6	0	0	2	2	//정상											
4	6	21	2	0	0	0	1	0	//정상											
4	7	2	2	0	0	1	0	1	//정상											
4	8	13	2	0	1	1	1	0	//정상											
4	9	15	3	0	0	2	0	0	//정상											
5	0	16	2	0	1	1	0	1	//정상											
5	1	21	3	1	0	2	2	2	//정상											
5	2	16	2	0	0	1	1	0	//정상											
5	3	13	2	0	1	1	0	0	//정상											
5	4	12	2	0	0	1	0	1	//정상											
5	5	13	2	0	0	1	1	1	//정상											
5	6	18	2	0	0	1	1	0	//정상											
5	7	16	2	0	1	1	0	1	//정상											
5	8	11	3	0	2	2	2	0	//정상											
5	9	8	2	0	1	1	0	0	//정상											
6	0	15	2	0	1	1	0	0	//정상											
6	1	23	2	0	1	1	0	1	//정상											
6	2	9	2	0	1	1	1	0	//정상											
6	3	8	3	1	2	0	0	0	//정상											
6	4	15	2	0	1	1	0	1	//정상											
6	5	7	2	0	1	1	1	1	//정상											
6	6	3	2	0	1	1	1	0	//정상											
