////////////////////////////////////////////////////////////////////////////////											
//	[ Text  Version ]	0.0.7.8									
//	[ 최종 작업자 ]	사재일									
//	[ 최종 작업일 ]	2015-08-11-04:53 PM									
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가									
////////////////////////////////////////////////////////////////////////////////											
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가											
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며											
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것											
											
									
//Index	Viewport index	Item Index	Item Code	Name (ENG)	Type	알림	Clear type	설명 (ENG)	
232	230	13	5	"Dark Raven"	0	0	1	"Summoning Dark Raven."	//다크스피릿 인벤장착
//233	231	14	322	" "	0	0	1	" "	//물속성 방어 상성 저항제
//234	232	14	323	" "	0	0	1	" "	//땅속성 방어 상성 저항제
//235	233	14	324	" "	0	0	1	" "	//바람속성 방어 상성 저항제
//236	234	14	325	" "	0	0	1	" "	//암흑속성 방어 상성 저항제
//PC방 전용 아이템 추가(2015-03-30 최유진)	
237	115	13	476	"[PC room] The talisman of rise I"	0	0	1	"PC room only items, 50%% of the basic experience to acquire additional."	// 인벤 장착 아이템 경험치 상승 버프 I(PC방)
// 에르텔 옵션 버프 및 디버프 추가 (2015-03-26 홍승욱)	
238	235	255	255	"Bastion"	0	1	1	"Elemental Damage minus 90%%."	// 광휘의 에르텔 2랭크 옵션
239	236	255	255	"Hemorrhage"	1	1	1	"Bleeding Damage for every second."	// 광휘의 에르텔 3랭크 옵션
240	237	255	255	"Paralysis"	1	1	1	"Movement speed and regeneration effect will be reduced. / (reduced effectiveness of Potions)"	// 광휘의 에르텔 3랭크 옵션
241	238	255	255	"Bondage"	1	1	1	"Cannot move while Earth Power is holding the target's leg."	// 광휘의 에르텔 3랭크 옵션
242	239	255	255	"Blindness"	1	1	1	"Blinds the target and reduces its Attack Success Rate by %d%%."	// 광휘의 에르텔 3랭크 옵션
243	240	255	255	"Immune I"	0	1	1	"Becomes immune to Elemental Damage."	// 광휘의 에르텔 4랭크 옵션
244	240	255	255	"Immune II"	0	1	1	"Becomes immune to every Debuff Effect."	// 광휘의 에르텔 4랭크 옵션
245	241	255	255	"Widened I"	0	1	1	"Greatly increases the Elemental Damage and Elemental Attack Rate temporarily."	// 광휘의 에르텔 5랭크 옵션
//Index	Viewport index	Item Index		Name	Type	알림	Clear type	설명	
// 대천사의절대무기 스킬 버프 추가 (2015-08-11 사재일)									
246	242	255	255	"Archangel's will"	0	1	1	"Attack damage and skill damage is increased."	//대천사의절대무기 무기스킬(버프)
247	243	255	255	"Ferea Party EXP buff"	0	1	1	"Up to 10%% EXP gain is added on basic EXP/5%% additional EXP per party member."	//페리아 파티 경험치 버프
248	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 1: 5%%"	//루네딜의 축복 버프
249	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 2: 10%%"	//루네딜의 축복 버프
250	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 3: 15%%"	//루네딜의 축복 버프
251	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 4: 25%%"	//루네딜의 축복 버프
252	244	255	255	"Lunedil's Blessing"	0	0	1	"EXP Increase Level 5: 35%%"	//루네딜의 축복 버프
253	116	14	371	"Bless of Light (Greater)"	0	0	1	"Earning additional 200%% EXP after quick blessing"	// 빛의 축복 버프(상급)
254	116	14	372	"Bless of Light (Middle Grade)"	0	0	1	"Receiving the blessing for a short period of time, you acquire 100%% of basic EXP additionally."	// 빛의 축복 버프 (중급)
255	116	14	373	"Bless of Light (Low Grade)"	0	0	1	"Receiving the blessing for a short period of time, you acquire 50%% of basic EXP additionally."	// 빛의 축복 버프 (하급)
//256	245	14	49	"Jack O'Lantern Food"	0	0	1	"Increases maximum health +500"	//빨강
//257	245	14	50	"Jack O'Lantern Drink"	0	0	1	"Increases maximum health +500"	//하늘
//258	23	14	46	"Jack O'Lantern Blessings"	0	0	1	"Attack speed increase +10"	//주황
//259	23	14	47	"Jack O'Lantern Wrath"	0	0	1	"Attack damage increase +30"//붉은
//260	23	14	47	"Jack O'Lantern Wrath"	0	0	1	"Horsepower +30"	//노랑
//261	245	14	48	"Jack O'Lantern Cry"	0	0	1	"Defense increase +100"	//보라
//262	73	14	97	"Scroll of Battle"	0	1	1	"Critical damage increase 5%"	//하늘색
//263	74	14	98	"Scroll of Strength"	0	1	1	"Excellent Damage Increased by 5%"	//초록
// 4차 전직 스킬강화트리 버프 등록 (2017-03-14 사재일)									
264	256	255	255	"Swell Life Enhancement"	0	0	1	"Increases Swell Life HP"	
265	257	255	255	"Mana Shield Enhancement"	0	0	1	"Increases Mana Shield Damage Reduction"	
266	258	255	255	"Berserker Enhancement"	0	0	1	"Increases Berserker Attack Power"	
267	259	255	255	"Berserker Enhancement"	0	0	1	"Eliminated Berserker Defense Reduction"	
268	260	255	255	"Stamina Enhancement"	0	0	1	"Increases Stamina Effect"	
269	261	255	255	"Wrath Enhancement"	0	0	1	"Increases Wrath Attack Power"	
270	262	255	255	"Wrath Enhancement"	0	0	1	"Wrath defense reduction effect reduced"	
271	263	255	255	"Decrease SD Ratio"	0	0	1	"Decrease SD Ratio"	
272	264	255	255	"SD Rise"	0	0	1	"SD Rise"	
273	265	255	255	"Poison"	1	0	1	"Poison"	
274	266	255	255	"Freezing"	1	0	1	"Freezing"	
275	267	255	255	"Bleeding"	1	0	1	"Bleeding"	
276	268	255	255	"Shock"	1	0	1	"Shock"	
277	269	255	255	"Addicted"	1	0	1	"Addicted"	
278	270	255	255	"Freezing"	1	0	1	"Freezing"	
279	271	255	255	"Excessive Bleeding"	1	0	1	"Excessive Bleeding"	
280	272	255	255	"Shock"	1	0	1	"Shock"	
281	273	255	255	"Increased SD Reduction"	0	0	1	"Increased SD reduction"																	
//Season13 Part.1 사이드옵션 등록 (2017-08-02 사재일)								
282	274	255	255	"Increase Maximum Health"	0	0	1	"Increase Maximum Health"
283	275	255	255	"Fourth Stats"	0	0	1	"Fourth Stats"
284	276	255	255	"Base Defense Increase"	0	0	1	"Base Defense Increase"
285	277	255	255	"Increase Attack Power of 4th Wings"	0	0	1	"Increase Attack Power of 4th Wings"
286	278	255	255	"Damage Increase"	0	0	1	"Damage Increase"
287	279	255	255	"Wizadry Power Increase"	0	0	1	"Wizadry Power Increase"
288	280	255	255	"Fourth Stats"	0	0	1	"Fourth Stats"
289	281	255	255	"Skill Damage Increase"	0	0	1	"Skill Damage Increase"
290	282	255	255	"Fourth Blade Damage Increase"	0	0	1	"Fourth Blade Damage Increase"
291	283	255	255	"Attack/Wizadry Power Increase"	0	0	1	"Attack/Wizadry Power Increase"
end								
